Description,Qty,Link
40x40x7mm 5V fan,2,https://www.amazon.com/gp/product/B07WNH6Y8Y
150x60x5mm aluminium heatsink,1,http://... [very curious where @gandalffoogray got his]
thermal compound,1,https://www.amazon.com/gp/product/B0044NI2M2
Pololu USB 2.0 Type-C Connector Breakout Board,1,https://www.pololu.com/product/2585
M3 screws,6,https://www.amazon.com/dp/B07D686M7N [please suggest a length]
M3 inserts,6,https://www.amazon.com/gp/product/B01IYWTCWW
USB-C 180 degree right-angle cable,1,https://www.amazon.com/UMECORE-Charging-Samsung-MacBook-Android/dp/B07X8SMHGR [unsure if this is what @gandalffoogray used] 
6mm OD 3mm thick neodymium magnet,16,https://www.amazon.com/gp/product/B07MX57ZGK
glue,1,https://www.amazon.com/Gorilla-Super-Glue-Gram-Clear/dp/B00OAAUAX8 [or whatever...]
10P Probe Connector Spring Thimble Charging Spring Needle Conductive Connector Electronic Shock M885/10P,2,https://www.aliexpress.com/item/32905598916.html [US source preferred]
